longitude|latitude|start_date|end_date|source|horizon_lower|horizon_upper|aluminium_extractable|boron_extractable|calcium_extractable|carbon_organic|carbon_total|copper_extractable|electrical_conductivity|iron_extractable|magnesium_extractable|manganese_extractable|nitrogen_total|ph|phosphorus_extractable|potassium_extractable|sodium_extractable|sulphur_extractable|zinc_extractable
35.61913|-8.57377|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1150.229||788.272|23.93|20.29|2.396||84.837|175.338|90.479|1.54|5.636||191.128|||
35.61916|-8.57377|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1265.367||657.963|24.03|22.12|2.222||82.977|136.106|73.704|1.7|5.218||156.088|||
35.5714|-8.57261|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1237.549||1049.505|29.21|26.91|1.347||88.437|137.01|48.066|1.82|5.809||93.999|||
35.18092|-8.57248|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1225.861||365.74|17.03|14.88|1.487||62.709|150.49|29.535|1.07|5.549||109.715|||
35.11197|-8.57235|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1352.967||451.493|19.31|19.22|1.316||154.538|168.535|81.358|1.41|5.005||222.855|||
35.17222|-8.5717|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1231.571||221.72|13.29|10.96|1.663||64.228|105.926|85.382|0.83|5.458||231.394|||
35.17204|-8.57169|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1028.273||499.116|11.54|10.42|2.35||60.894|209.169|77.828|0.85|5.915||210.942|||
35.11119|-8.57158|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1343.42||277.936|18.3|16.0|1.496||76.506|111.249|80.398|0.99|5.01||248.957|||
35.57024|-8.56872|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1151.944||825.573|14.42|12.58|3.07||131.568|196.652|114.003|1.2|5.851||243.274|||
35.56923|-8.56856|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1096.879||960.049|25.58|28.45|4.188||144.716|231.008|217.738|1.77|5.663||365.256|||
35.14022|-8.56841|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1523.547||363.527|15.76|14.31|1.197||65.188|71.102|27.495|1.25|5.174||106.638|||
35.56937|-8.56616|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1045.02||1397.813|30.7|33.49|3.395||124.674|326.735|250.105|2.92|5.996||356.498|||
35.5685|-8.5656|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1265.355||589.793|23.26|22.6|3.687||147.865|204.854|96.129|1.44|5.534||279.024|||
35.17401|-8.5654|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1479.503||569.891|22.41|21.23|2.566||60.555|173.592|50.265|1.45|5.574||169.765|||
35.14253|-8.56495|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1274.165||331.999|10.21|10.23|1.392||55.965|77.453|31.986|0.55|5.319||70.37|||
35.13693|-8.56492|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1276.979||588.274|29.89|29.14|3.34||91.806|313.751|171.68|2.15|5.454||318.183|||
35.14262|-8.56484|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1047.653||688.592|17.91|11.99|2.497||69.855|203.8|80.507|1.16|5.888||206.044|||
35.14249|-8.5641|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1311.203||123.299|10.16|9.59|1.188||52.331|73.917|24.655|0.66|5.333||77.024|||
35.41819|-8.56388|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1232.144||465.265|13.17|11.22|1.712||84.673|94.129|112.115|1.26|5.265||295.959|||
35.60937|-8.56257|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1196.203||1056.753|28.89|28.44|1.487||90.901|186.382|75.897|1.63|5.666||184.119|||
35.17189|-8.56245|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1110.869||503.534|13.44|10.31|2.844||75.221|155.786|82.496|0.79|5.898||444.301|||
35.63046|-8.56236|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1569.36||477.148|27.8|25.41|1.007||78.671|121.416|26.14|1.57|5.022||57.917|||
35.17186|-8.56232|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1305.207||112.984|11.9|12.71|1.328||69.321|76.807|30.799|0.77|5.405||84.885|||
